[RESOLVIDO] Serviço: CFY-FILA-SALVADOR | Início: 2026-01-23 20:46:02 | Fim: 2026-01-23 21:00:32 | Duração: 14m | Trigger: "CFY-FILA-SALVADOR" (CFY-FILA-SALVADOR) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-SALVADOR | Início: 2026-01-23 20:49:14 | Fim: 2026-01-23 21:00:14 | Duração: 11m | Trigger: "CFY-URA-SALVADOR" (CFY-URA-SALVADOR) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-FILA-EMEC-PREMIUM | Início: 2026-01-23 20:45:29 | Fim: 2026-01-23 21:00:29 | Duração: 15m | Trigger: "CFY-FILA-EMEC-PREMIUM" (CFY-FILA-EMEC-PREMIUM) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-FILA-EMEC-PREMIUM | Início: 2026-01-26 10:56:29 | Fim: 2026-01-26 10:56:59 | Duração: 0m | Trigger: "CFY-FILA-EMEC-PREMIUM" (CFY-FILA-EMEC-PREMIUM) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-EMEC | Início: 2026-01-23 20:48:09 | Fim: 2026-01-23 20:59:39 | Duração: 11m | Trigger: "CFY-URA-EMEC" (CFY-URA-EMEC) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-PREMIUM | Início: 2026-01-23 20:49:13 | Fim: 2026-01-23 21:00:13 | Duração: 11m | Trigger: "CFY-URA-PREMIUM" (CFY-URA-PREMIUM) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-FILA-IPSEMG | Início: 2026-01-23 20:45:30 | Fim: 2026-01-23 21:00:30 | Duração: 15m | Trigger: "CFY-FILA-IPSEMG" (CFY-FILA-IPSEMG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-IPSEMG | Início: 2025-12-29 10:39:40 | Fim: 2025-12-29 10:40:10 | Duração: 0m | Trigger: "CFY-URA-IPSEMG" (CFY-URA-IPSEMG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-IPSEMG | Início: 2026-01-23 20:48:40 | Fim: 2026-01-23 20:59:40 | Duração: 11m | Trigger: "CFY-URA-IPSEMG" (CFY-URA-IPSEMG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-FILA-SC-SG | Início: 2026-01-23 20:46:33 | Fim: 2026-01-23 21:01:03 | Duração: 14m | Trigger: "CFY-FILA-SC-SG" (CFY-FILA-SC-SG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-SANTA-CLARA | Início: 2026-01-22 10:02:45 | Fim: 2026-01-22 10:03:15 | Duração: 0m | Trigger: "CFY-URA-SANTA-CLARA" (CFY-URA-SANTA-CLARA) is not running (startup type automatic delayed)
