[RESOLVIDO] Serviço: CFY-FILA-IPSEMG | Início: 2025-12-01 16:06:00 | Fim: 2025-12-01 16:33:30 | Duração: 27m | Trigger: "CFY-FILA-IPSEMG" (CFY-FILA-IPSEMG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-IPSEMG | Início: 2025-12-01 16:05:40 | Fim: 2025-12-01 16:33:40 | Duração: 28m | Trigger: "CFY-URA-IPSEMG" (CFY-URA-IPSEMG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-FILA-SC-SG | Início: 2025-12-01 16:06:03 | Fim: 2025-12-01 16:33:33 | Duração: 27m | Trigger: "CFY-FILA-SC-SG" (CFY-FILA-SC-SG) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-SANTA-CLARA | Início: 2025-11-20 00:34:18 | Fim: 2025-11-20 00:50:18 | Duração: 16m | Trigger: "CFY-URA-SANTA-CLARA" (CFY-URA-SANTA-CLARA) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-SANTA-CLARA | Início: 2025-12-01 16:05:45 | Fim: 2025-12-01 16:33:15 | Duração: 27m | Trigger: "CFY-URA-SANTA-CLARA" (CFY-URA-SANTA-CLARA) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-SANTA-GENOVEVA | Início: 2025-11-20 00:34:19 | Fim: 2025-11-20 00:50:19 | Duração: 16m | Trigger: "CFY-URA-SANTA-GENOVEVA" (CFY-URA-SANTA-GENOVEVA) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-SANTA-GENOVEVA | Início: 2025-12-01 16:05:46 | Fim: 2025-12-01 16:33:16 | Duração: 27m | Trigger: "CFY-URA-SANTA-GENOVEVA" (CFY-URA-SANTA-GENOVEVA) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-MARCACAO | Início: 2025-11-20 00:34:27 | Fim: 2025-11-20 00:43:27 | Duração: 9m | Trigger: "CFY-URA-MARCACAO" (CFY-URA-MARCACAO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-MARCACAO | Início: 2025-12-01 16:05:41 | Fim: 2025-12-01 16:33:11 | Duração: 27m | Trigger: "CFY-URA-MARCACAO" (CFY-URA-MARCACAO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-CRMO | Início: 2025-11-20 00:47:26 | Fim: 2025-11-20 00:48:26 | Duração: 1m | Trigger: "CFY-URA-CRMO" (CFY-URA-CRMO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-CRMO | Início: 2025-12-01 16:06:08 | Fim: 2025-12-01 16:33:38 | Duração: 27m | Trigger: "CFY-URA-CRMO" (CFY-URA-CRMO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-FILA-CRMO-MARCACAO | Início: 2025-12-01 16:05:58 | Fim: 2025-12-01 16:33:28 | Duração: 27m | Trigger: "CFY-FILA-CRMO-MARCACAO" (CFY-FILA-CRMO-MARCACAO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-PESQUISA-ATENDIMENTO-CLIENTE | Início: 2025-12-01 16:06:05 | Fim: 2025-12-01 16:33:35 | Duração: 27m | Trigger: "CFY-PESQUISA-ATENDIMENTO-CLIENTE" (CFY-PESQUISA-ATENDIMENTO-CLIENTE) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-PESQUISA-CORPO-CLINICO | Início: 2025-12-01 16:06:06 | Fim: 2025-12-01 16:33:36 | Duração: 27m | Trigger: "CFY-PESQUISA-CORPO-CLINICO" (CFY-PESQUISA-CORPO-CLINICO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-PESQUISA-MARCACAO | Início: 2025-12-01 16:06:07 | Fim: 2025-12-01 16:33:37 | Duração: 27m | Trigger: "CFY-PESQUISA-MARCACAO" (CFY-PESQUISA-MARCACAO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-Agente-MaterdeiGrupo | Início: 2025-12-14 08:58:36 | Fim: 2025-12-14 09:15:06 | Duração: 16m | Trigger: "CFY-Agente-MaterdeiGrupo" (CFY-Agente-MaterdeiGrupo) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-Roteamento-MaterdeiGrupo | Início: 2025-12-14 08:58:07 | Fim: 2025-12-14 09:15:07 | Duração: 17m | Trigger: "CFY-Roteamento-MaterdeiGrupo" (CFY-Roteamento-MaterdeiGrupo) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-Ura-MaterdeiGrupo | Início: 2025-12-14 08:58:08 | Fim: 2025-12-14 09:15:08 | Duração: 17m | Trigger: "CFY-Ura-MaterdeiGrupo" (CFY-Ura-MaterdeiGrupo) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-Agente-Materdei | Início: 2025-12-14 08:58:36 | Fim: 2025-12-14 09:15:06 | Duração: 16m | Trigger: "CFY-Agente-MaterdeiGrupo" (CFY-Agente-MaterdeiGrupo) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-Roteamento-Materdei | Início: 2025-12-14 08:58:07 | Fim: 2025-12-14 09:15:07 | Duração: 17m | Trigger: "CFY-Roteamento-MaterdeiGrupo" (CFY-Roteamento-MaterdeiGrupo) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-Ura-Materdei | Início: 2025-12-14 08:58:08 | Fim: 2025-12-14 09:15:08 | Duração: 17m | Trigger: "CFY-Ura-MaterdeiGrupo" (CFY-Ura-MaterdeiGrupo) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-HUB-BH-AMBULATORIO | Início: 2025-11-18 21:03:59 | Fim: 2025-11-18 21:05:59 | Duração: 2m | Trigger: "CFY-URA-HUB-BH-AMBULATORIO" (CFY-URA-HUB-BH-AMBULATORIO) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-HUB-BH-AMBULATORIO | Início: 2025-11-20 00:34:59 | Fim: 2025-11-20 00:48:59 | Duração: 14m | Trigger: "CFY-URA-HUB-BH-AMBULATORIO" (CFY-URA-HUB-BH-AMBULATORIO) is not running (startup type automatic delayed)
